Region,Year,data_min,data_max,q_min,q_max,n_total,n_plotted
global,2007,-52.254999999999995,80.82679999999999,-52.254999999999995,80.82679999999999,93403,93403
global,2008,-88.17558,57.805310000000006,-88.17558,57.805310000000006,94404,94404
global,2009,-72.75879999999998,86.95638,-72.75879999999998,86.95638,93325,93325
global,2010,-74.44736,70.56119999999999,-74.44736,70.56119999999999,90557,90557
global,2011,-54.025000000000006,61.26480000000004,-54.025000000000006,61.26480000000004,87774,87774
global,2012,-54.254400000000004,47.995000000000005,-54.254400000000004,47.995000000000005,85034,85034
global,2013,-53.80177,54.67199999999998,-53.80177,54.67199999999998,78350,78350
global,2014,-56.32709999999997,74.0771,-56.32709999999997,74.0771,71356,71356
global,2015,-91.38213,76.33259000000001,-91.38213,76.33259000000001,64519,64519
global,2016,-64.61760000000001,42.367200000000004,-64.61760000000001,42.367200000000004,59011,59011
global,2017,-93.08590000000004,54.796899999999994,-93.08590000000004,54.796899999999994,57274,57274
global,2018,-45.84954,61.493399999999994,-45.84954,61.493399999999994,54692,54692
global,2019,-45.72,46.667930000000005,-45.72,46.667930000000005,52095,52095
global,2020,-43.70832,50.56,-43.70832,50.56,47754,47754
global,2021,-45.17138,36.47541,-45.17138,36.47541,40937,40937
global,2022,-46.997110000000006,74.43220000000002,-46.997110000000006,74.43220000000002,36450,36450
US,1905,-7.744969999999995,-5.6311800000000005,-7.744969999999995,-5.6311800000000005,3,3
US,1906,-33.092130000000004,9.153139999999997,-33.092130000000004,9.153139999999997,242,242
US,1907,-9.505189999999999,7.744970000000002,-9.505189999999999,7.744970000000002,342,342
US,1908,-23.2349,9.153144000000001,-23.2349,9.153144000000001,478,478
US,1909,-13.731240000000003,18.656812,-13.731240000000003,18.656812,473,473
US,1910,-15.66672,8.589265999999999,-15.66672,8.589265999999999,367,367
US,1911,-17.25016,12.673584,-17.25016,12.673584,460,460
US,1912,-14.78585,16.89811,-14.78585,16.89811,512,512
US,1913,-15.8435,16.194020000000002,-15.8435,16.194020000000002,409,409
US,1914,-76.19999999999999,13.929358,-76.19999999999999,13.929358,314,314
US,1915,-60.959999999999994,13.731243999999998,-60.959999999999994,13.731243999999998,212,212
US,1916,-97.53600000000002,11.265412000000001,-97.53600000000002,11.265412000000001,170,170
US,1917,-82.29599999999999,12.191980000000001,-82.29599999999999,12.191980000000001,124,124
US,1918,-6.4008,23.4696,-6.4008,23.4696,83,83
US,1919,-4.83108,9.15314,-4.83108,9.15314,61,61
US,1920,-7.13232,6.52272,-7.13232,6.52272,35,35
US,1921,-3.77952,6.4008,-3.77952,6.4008,51,51
US,1922,-1.9049999999999976,3.383279999999999,-1.9049999999999976,3.383279999999999,54,54
US,1923,-8.534399999999998,6.065519999999999,-8.534399999999998,6.065519999999999,42,42
US,1924,-4.437887999999999,1.8288000000000002,-4.437887999999999,1.8288000000000002,48,48
US,1925,-3.41376,3.5052000000000003,-3.41376,3.5052000000000003,69,69
US,1926,-3.7338000000000005,4.358639999999999,-3.7338000000000005,4.358639999999999,109,109
US,1927,-9.204959999999998,18.013679999999997,-9.204959999999998,18.013679999999997,149,149
US,1928,-76.19999999999993,4.267199999999999,-76.19999999999993,4.267199999999999,132,132
US,1929,-6.659880000000001,6.797040000000001,-6.659880000000001,6.797040000000001,218,218
US,1930,-8.139684,8.055860000000003,-8.139684,8.055860000000003,397,397
US,1931,-5.696719999999999,15.23238,-5.696719999999999,15.23238,670,670
US,1932,-9.153150000000002,20.314920000000004,-9.153150000000002,20.314920000000004,834,834
US,1933,-5.733288,19.690080000000002,-5.733288,19.690080000000002,786,786
US,1934,-13.68552,6.120380000000001,-13.68552,6.120380000000001,822,822
US,1935,-10.27176,14.46886,-10.27176,14.46886,1063,1063
US,1936,-16.977359999999997,10.634469999999993,-16.977359999999997,10.634469999999993,1491,1491
US,1937,-15.148560000000003,15.182089999999999,-15.148560000000003,15.182089999999999,2111,2111
US,1938,-21.87854,41.910000000000004,-21.87854,41.910000000000004,2985,2985
US,1939,-9.488429999999994,10.11936,-9.488429999999994,10.11936,3727,3727
US,1940,-23.195279999999997,7.985759999999999,-23.195279999999997,7.985759999999999,4300,4300
US,1941,-15.58138,28.326590000000003,-15.58138,28.326590000000003,4623,4623
US,1942,-17.026129999999995,27.370999999999995,-17.026129999999995,27.370999999999995,4603,4603
US,1943,-26.822400000000002,14.417039999999997,-26.822400000000002,14.417039999999997,4470,4470
US,1944,-22.86,18.048740000000002,-22.86,18.048740000000002,4579,4579
US,1945,-9.659120000000001,25.145999999999994,-9.659120000000001,25.145999999999994,4618,4618
US,1946,-30.05328,19.912588,-30.05328,19.912588,4633,4633
US,1947,-21.97303,18.22704,-21.97303,18.22704,5602,5602
US,1948,-32.9946,17.678399999999996,-32.9946,17.678399999999996,6611,6611
US,1949,-29.565599999999996,21.21408,-29.565599999999996,21.21408,7572,7572
US,1950,-23.094700000000003,59.43599999999999,-23.094700000000003,59.43599999999999,8889,8889
US,1951,-33.528,36.09442,-33.528,36.09442,9349,9349
US,1952,-31.083499999999994,33.13175999999999,-31.083499999999994,33.13175999999999,9584,9584
US,1953,-24.384,21.9456,-24.384,21.9456,10115,10115
US,1954,-38.10000000000001,22.789900000000003,-38.10000000000001,22.789900000000003,10732,10732
US,1955,-42.702476000000004,26.822400000000002,-42.702476000000004,26.822400000000002,11417,11417
US,1956,-29.76067,21.9456,-29.76067,21.9456,11805,11805
US,1957,-39.319199999999995,27.61488,-39.319199999999995,27.61488,13160,13160
US,1958,-36.89757999999999,43.26941,-36.89757999999999,43.26941,14302,14302
US,1959,-38.099999999999994,37.94760000000001,-38.099999999999994,37.94760000000001,14994,14994
US,1960,-89.15095,37.984179999999995,-89.15095,37.984179999999995,14818,14818
US,1961,-45.76877,97.03155600000001,-45.76877,97.03155600000001,15199,15199
US,1962,-44.5008,43.26941000000001,-44.5008,43.26941000000001,15764,15764
US,1963,-56.11825,22.09186000000001,-56.11825,22.09186000000001,16868,16868
US,1964,-66.99503999999999,34.71672,-66.99503999999999,34.71672,17671,17671
US,1965,-45.98522,41.818560000000005,-45.98522,41.818560000000005,18564,18564
US,1966,-39.16833,18.86712,-39.16833,18.86712,20295,20295
US,1967,-56.59377,39.194230000000005,-56.59377,39.194230000000005,21945,21945
US,1968,-57.637679999999996,49.206908,-57.637679999999996,49.206908,22993,22993
US,1969,-63.71845,93.57360000000006,-63.71845,93.57360000000006,23812,23812
US,1970,-46.207679999999996,55.473599999999976,-46.207679999999996,55.473599999999976,24334,24334
US,1971,-50.67304,78.79079999999999,-50.67304,78.79079999999999,24785,24785
US,1972,-47.71340000000001,57.45479999999998,-47.71340000000001,57.45479999999998,24967,24967
US,1973,-41.86428,88.39200000000002,-41.86428,88.39200000000002,25118,25118
US,1974,-69.09206,62.94882,-69.09206,62.94882,25684,25684
US,1975,-67.05599999999998,64.61760000000001,-67.05599999999998,64.61760000000001,27377,27377
US,1976,-63.246,52.76088,-63.246,52.76088,29023,29023
US,1977,-54.864000000000004,59.89319999999999,-54.864000000000004,59.89319999999999,30483,30483
US,1978,-89.83220000000001,68.65925000000001,-89.83220000000001,68.65925000000001,31427,31427
US,1979,-47.112939999999995,50.292,-47.112939999999995,50.292,31637,31637
US,1980,-73.14281,56.72634,-73.14281,56.72634,31299,31299
US,1981,-73.89880000000001,92.14714,-73.89880000000001,92.14714,30997,30997
US,1982,-41.01390000000001,93.098114,-41.01390000000001,93.098114,31599,31599
US,1983,-40.233599999999996,64.6176,-40.233599999999996,64.6176,30707,30707
US,1984,-55.168800000000005,60.04559999999999,-55.168800000000005,60.04559999999999,31149,31149
US,1985,-58.216800000000006,58.98640999999999,-58.216800000000006,58.98640999999999,31948,31948
US,1986,-57.454800000000006,51.267360000000004,-57.454800000000006,51.267360000000004,31514,31514
US,1987,-80.25992,64.31280000000001,-80.25992,64.31280000000001,32444,32444
US,1988,-36.67049,74.96864,-36.67049,74.96864,32929,32929
US,1989,-62.788799999999995,59.094600000000014,-62.788799999999995,59.094600000000014,33639,33639
US,1990,-54.863999999999976,43.61993,-54.863999999999976,43.61993,33521,33521
US,1991,-61.04230000000001,59.43599999999998,-61.04230000000001,59.43599999999998,33001,33001
US,1992,-78.02879999999999,50.398669999999996,-78.02879999999999,50.398669999999996,32351,32351
US,1993,-53.644800000000004,65.34607999999999,-53.644800000000004,65.34607999999999,31063,31063
US,1994,-89.22866,72.84719999999999,-89.22866,72.84719999999999,30935,30935
US,1995,-55.07736,62.7888,-55.07736,62.7888,30249,30249
US,1996,-63.23079999999999,88.84920000000002,-63.23079999999999,88.84920000000002,29652,29652
US,1997,-72.33514,51.81599999999999,-72.33514,51.81599999999999,29377,29377
US,1998,-59.58839999999999,82.32957000000002,-59.58839999999999,82.32957000000002,29500,29500
US,1999,-52.1208,71.55787,-52.1208,71.55787,28106,28106
US,2000,-76.68154000000001,45.72000000000003,-76.68154000000001,45.72000000000003,27730,27730
US,2001,-73.55738,66.14160000000001,-73.55738,66.14160000000001,29639,29639
US,2002,-69.26584,58.286919999999995,-69.26584,58.286919999999995,40492,40492
US,2003,-46.901120000000006,79.83935,-46.901120000000006,79.83935,62848,62848
US,2004,-80.37576000000001,49.423320000000004,-80.37576000000001,49.423320000000004,68358,68358
US,2005,-62.78880000000001,80.707992,-62.78880000000001,80.707992,72229,72229
US,2006,-70.34788,96.78924,-70.34788,96.78924,86832,86832
US,2007,-38.099999999999994,80.82679999999999,-38.099999999999994,80.82679999999999,88980,88980
US,2008,-88.17558,57.805310000000006,-88.17558,57.805310000000006,89870,89870
US,2009,-72.75879999999998,86.95638,-72.75879999999998,86.95638,88771,88771
US,2010,-74.44736,70.56119999999999,-74.44736,70.56119999999999,85946,85946
US,2011,-49.92624,61.26480000000004,-49.92624,61.26480000000004,82936,82936
US,2012,-54.254400000000004,37.49040000000001,-54.254400000000004,37.49040000000001,79949,79949
US,2013,-53.80177,54.67199999999998,-53.80177,54.67199999999998,73448,73448
US,2014,-56.32709999999997,74.0771,-56.32709999999997,74.0771,64972,64972
US,2015,-91.38213,76.33259000000001,-91.38213,76.33259000000001,58100,58100
US,2016,-64.61760000000001,42.367200000000004,-64.61760000000001,42.367200000000004,53195,53195
US,2017,-93.08590000000004,54.796899999999994,-93.08590000000004,54.796899999999994,50974,50974
US,2018,-45.84954,61.493399999999994,-45.84954,61.493399999999994,48529,48529
US,2019,-45.72,46.667930000000005,-45.72,46.667930000000005,46217,46217
US,2020,-43.70832,34.1376,-43.70832,34.1376,43510,43510
US,2021,-45.17138,36.47541,-45.17138,36.47541,40539,40539
US,2022,-46.997110000000006,74.43220000000002,-46.997110000000006,74.43220000000002,36326,36326
Europe,1901,-0.45500000000000007,1.6700000000000017,-0.45500000000000007,1.6700000000000017,3,3
Europe,1902,-2.5450000000000017,-0.16999999999999993,-2.5450000000000017,-0.16999999999999993,3,3
Europe,1903,0.20000000000000018,2.0900000000000016,0.20000000000000018,2.0900000000000016,3,3
Europe,1904,0.5449999999999999,3.0700000000000003,0.5449999999999999,3.0700000000000003,4,4
