StnID,Year,Lat,Lon,Anomaly,SourceType
1000044733,2003,41.8003,-91.496,30.327600000000004,depth
1000044931,2009,41.8047,-96.47922,32.958026,depth
1000047183,1987,41.8636,-88.10479,25.38984,depth
1000056976,1981,42.1301,-75.07489,19.6596,depth
1000057736,1991,42.1524,-122.64,21.288749999999997,depth
1000057737,1991,42.1524,-122.64,23.769830000000002,depth
1000059293,2007,42.1983,-121.733,26.365199999999998,depth
1000060236,1994,42.2331,-88.54231,-23.082500000000003,depth
1000060502,2010,42.2422,-88.30786,35.35679999999999,depth
1000060502,2011,42.2422,-88.30786,-32.61359999999999,depth
1000060623,1997,42.2469,-113.9106,21.61945,depth
1000061184,1992,42.2721,-113.8889,-34.1315,depth
1000061562,2008,42.2904,-121.668,-32.38805,depth
1000061826,1997,42.301,-113.8758,-22.1742,depth
1000061877,1995,42.3032,-114.022,32.961100000000016,depth
1000062409,1995,42.3285,-114.0328,58.565792,depth
1000062769,1985,42.3452,-113.9986,22.42109,depth
1000062769,1998,42.3452,-113.9986,26.00249000000001,depth
1000063865,2002,42.3964,-94.63276,19.964399999999998,depth
1000064165,1997,42.4066,-114.1017,22.45763000000001,depth
1000064264,1994,42.4102,-114.1948,-89.22866,depth
1000064265,1989,42.4102,-114.1967,-22.908699999999982,depth
1000064265,1990,42.4102,-114.1967,22.69229999999999,depth
1000064392,1967,42.4141,-114.2098,-27.62402,depth
1000064778,1996,42.4263,-114.1084,-19.52854,depth
1000064938,1995,42.4319,-114.1998,53.961791999999996,depth
1000064938,1996,42.4319,-114.1998,-45.186602,depth
1000065181,1993,42.4394,-114.1989,48.43272,depth
1000065181,1994,42.4394,-114.1989,-19.744939999999996,depth
1000065181,1996,42.4394,-114.1989,-50.76444000000001,depth
1000065181,1997,42.4394,-114.1989,29.538170000000008,depth
1000065553,1987,42.4482,-114.2006,-22.48814,depth
1000065553,1993,42.4482,-114.2006,20.895570000000006,depth
1000065592,1986,42.4492,-121.3611,26.310336,depth
1000065613,1998,42.4499,-114.1903,-19.92783,depth
1000066702,1996,42.4805,-95.28777,-21.407629999999997,depth
1000073036,1976,42.6366,-114.5084,-28.882839999999998,depth
1000074239,1980,42.6691,-94.95443,20.621244,depth
1000079445,2000,42.8319,-114.6517,-20.479519999999997,depth
1000085268,1950,43.0033,-87.9637,59.43599999999999,depth
1000085337,1944,43.0056,-87.96731,-22.86,depth
1000085396,1955,43.0072,-87.96231,20.421599999999998,depth
1000085498,1951,43.01,-87.96231,-33.528,depth
1000085498,1953,43.01,-87.96231,21.9456,depth
1000086988,1955,43.0453,-87.92342,26.822400000000002,depth
1000087193,1963,43.0499,-115.8512,-24.384,depth
1000087193,1964,43.0499,-115.8512,24.384,depth
1000087202,1964,43.0503,-88.00314,34.71672,depth
1000088973,1987,43.0972,-114.4322,-21.249129999999994,depth
1000088973,1993,43.0972,-114.4322,20.843739999999997,depth
1000088973,1994,43.0972,-114.4322,-22.802080000000004,depth
1000089902,1988,43.1314,-93.20104,19.52548999999999,depth
1000090003,1977,43.1325,-93.22187,23.286719999999995,depth
1000090890,1977,43.1591,-93.1952,24.384,depth
1000090890,1988,43.1591,-93.1952,-25.6032,depth
1000090924,1977,43.1633,-93.1952,20.116799999999998,depth
