AQUIFER_ID,Region,Decade,n_stn_decade,mean_ratio_neg,mean_ratio_pos,mean_frac_neg,mean_frac_pos,mean_sum_anom,mean_sum_neg,mean_sum_pos
178,US,2000,8,-1.0968614392857143,0.5581302249999999,0.5892857142857143,0.4107142857142857,-4.604193750000001,-9.96505975,5.360865999999999
178,US,2010,1,-1.1038114285714289,1.3766071428571434,0.42857142857142855,0.5714285714285714,1.9095700000000022,-7.726680000000002,9.636250000000004
179,US,1950,5,-0.40279319999999996,0.245364,0.5,0.5,-0.3148583999999999,-0.8055863999999999,0.490728
179,US,1960,5,-0.09204960000000001,0.21074633999999998,0.45499999999999996,0.545,0.5754623999999999,-0.8906256000000001,1.4660879999999998
179,US,1970,14,-0.6271585380952381,0.32160926190476197,0.6684523809523809,0.33154761904761904,-0.9741625714285714,-1.9328671428571431,0.9587045714285717
179,US,1980,15,-0.2510484838095238,0.32012739142857144,0.4657142857142857,0.5342857142857143,0.2648709333333333,-2.120595066666667,2.385466
179,US,1990,8,-0.289566225,0.34509705000000007,0.4625,0.5375,0.5362582500000002,-2.46335425,2.9996125000000005
179,US,2000,6,-0.4521201333333333,0.25339046666666665,0.6833333333333332,0.31666666666666665,-1.9872966666666665,-4.521201333333333,2.5339046666666665
18,US,1930,8,-0.9553575,0.2662237499999999,0.65625,0.34375,-2.1431250000000004,-3.20802,1.0648949999999997
18,US,1940,55,-1.0589569205627707,0.24085464069264065,0.7643939393939394,0.23196969696969696,-4.534841781818182,-6.155712145454546,1.6208703636363633
18,US,1950,77,-1.9951778193774479,0.24643887208822912,0.8328540507111936,0.16498144712430426,-8.545702025974027,-9.814065142857142,1.2683631168831164
18,US,1960,80,-2.3976708020337303,1.0899621759424605,0.6866269841269841,0.3078373015873016,-6.115312775,-11.740815600000001,5.625502825000001
18,US,1970,85,-2.400796288515406,2.4993972060224086,0.5524696545284781,0.4416479925303455,-1.3368139999999997,-9.323775058823529,7.986961058823528
